Tweet Text,Campaign name,Ad name,Cost Per Result,Spend,Cost Per Result Type,Cost per 1k impressions,Cost per engagement,Tweet publish date,Placement,Campaign ID,Ad Group ID,Tweet status,Tweet ID,Campaign ID.1
"Taking bold steps to reinvent a kinder internet.

Whitney Wolfe Herd leads Bumble on top of a strong foundation developed in her time on The Hilltop.",Whitney Wolfe Herd | April 2021,WWH Story 2,0.74,41.98,Cost per link click,3.48,0.24,19-Apr-2021 15:20,All,i25867059,i32204304,Expired,1384240602716381197,25867059
"10 years ago, Whitney Wolfe Herd '11 completed her SMU education. In May, she will return as the featured speaker at commencement.

How did she get there? Learn more about the bold moves that led to her becoming the youngest woman to take a company public.",Whitney Wolfe Herd | April 2021,WWH Story,0.79,2.38,Cost per link click,2.26,0.26,19-Apr-2021 15:15,All,i25867059,i32204258,Paused,1384239242151227406,25867059
"“It’s not that I’m some rare breed of human,” she says. 

“Everybody has the ingredients to achieve what I’ve achieved.” -Whitney Wolfe Herd '11",Whitney Wolfe Herd | April 2021,Bold Move,0.79,455.64,Cost per link click,6.19,0.07,15-Apr-2021 13:39,All,i25867059,i32204257,Expired,1382765652734140416,25867059
"“It took [an asteroid] smashing into Earth to reset these low-latitude ecosystems, putting them on a path to the rich, stratified tropical forests of today in the most productive terrestrial region of the world.”",April Higher Ed Stories | April 2021,Killer Asteroid,1.32,417.1,Cost per link click,4.27,0.37,09-Apr-2021 14:08,All,i25752850,i32120709,Expired,1380598625819107330,25752850
"Doran I.G. Bennett, a theoretical chemist at SMU, has received a grant to study how photosynthesis uses sunlight to support growth in changing environments.",April Higher Ed Stories | April 2021,SMU Chemist Grant,1.37,42.52,Cost per link click,1.81,0.23,09-Apr-2021 14:01,All,i25752850,i32120656,Expired,1380596763652939777,25752850
"Each year, the award is given to a researcher with an exemplary early career trajectory and who substantially contributes to the field of education finance and policy.",April Higher Ed Stories | April 2021,Dominique Baker Award,1.53,56.65,Cost per link click,2.32,0.3,09-Apr-2021 13:56,All,i25752850,i32120597,Expired,1380595449573343241,25752850
"Bryan S. Sheffield Hall will provide students with innovative learning environments, enabling Mustangs to develop critical skills that are vital to success in today’s evolving workplace.",Sheffield Hall | April 2021,Sheffield Annoucement,1.65,8.27,Cost per link click,1.37,0.31,09-Apr-2021 10:37,All,i25802069,i32118519,Expired,1380545466849505290,25802069
"A $15 million gift from Sharoll and Bryan S. Sheffield ’01 to @SMUCox will empower future entrepreneurs by establishing Bryan S. Sheffield Hall, creating innovative learning environments for students.",Sheffield Hall | April 2021,Sheffield Hall Quotes,2.36,722.89,Cost per link click,11.1,0.25,09-Apr-2021 10:34,All,i25802069,i32118518,Expired,1380544691561725956,25802069
".@SMUCox celebrated its 100 year anniversary last year, and already has an eye on what’s next.",Sheffield Hall | April 2021,DMN Release,2.65,68.84,Cost per link click,4.27,0.58,09-Apr-2021 10:27,All,i25802069,i32118517,Expired,1380542789818191879,25802069
"“Induction into a National Academy representing your field of expertise is the pinnacle of achievement in one’s career.” 

-Marc P. Christensen, dean of the Lyle School of Engineering",April Higher Ed Stories | April 2021,Richard Duschl will join the National Academy of Education,1.36,74.84,Cost per link click,2.45,0.34,01-Apr-2021 17:05,All,i25752850,i32053636,Expired,1377744062334300175,25752850
"Within the ranks of national private universities, Simmons also made gains, moving from the top 25 schools to the top 15 schools.",April Higher Ed Stories | April 2021,Simmons Ranking,1.41,267.23,Cost per link click,3.51,0.44,01-Apr-2021 17:03,All,i25752850,i32053635,Paused,1377743371771506688,25752850
"As a research and data science powerhouse, we're helping Dallas extend its reach nationally and internationally.",April Higher Ed Stories | April 2021,SMU Research,1.49,141.65,Cost per link click,2.29,0.34,01-Apr-2021 17:01,All,i25752850,i32053634,Expired,1377742945777029122,25752850
Our stories offer a collective voice of hope as we look forward to a new year on campus.,March Editorial | March 2021,Our Stories 2,4.79,751.83,Cost per link click,6.91,1.07,19-Mar-2021 12:59,All,i25660796,i31926041,Expired,1372971006759817220,25660796
"Stories of survival.
Stories of adaptation.

3 Mustangs over two years during one pandemic. These are our stories.",March Editorial | March 2021,Our Stories 1,4.43,248.17,Cost per link click,7.4,1.13,11-Mar-2021 15:29,All,i25660796,i31926041,Expired,1370124668426850304,25660796
"Using data from the city of Dallas, the SAFE-NET platform supports the efficient and safe dispatch of personnel for emergency response.",Higher Ed Stories | March 2021,Critical Path,1.83,821.01,Cost per link click,4.71,0.53,12-Mar-2021 12:20,All,i25575980,i31830689,Expired,1370439693725270018,25575980
Multi-year partnership will utilize SMU's competency-aware machine learning and human machine teaming to revolutionize future battlespace and warfare strategies.,Higher Ed Stories | March 2021,Raytheon Partnership,1.57,178.99,Cost per link click,3.38,0.4,12-Mar-2021 12:17,All,i25575980,i31830688,Expired,1370438941422260227,25575980
Our research will change the world.,Templeton Gift | March 2021,Templeton PhD,1.49,345.64,Cost per link click,3.37,0.4,01-Mar-2021 21:08,All,i25471741,i31689349,Expired,1366586068468957185,25471741
"“This generous commitment underscores the vital nature of research and the importance of student support for the future of SMU and the Lyle School of Engineering,""

-SMU President R. Gerald Turner.",Templeton Gift | March 2021,Templeton Undergrads,1.1,7.69,Cost per link click,1.99,0.21,01-Mar-2021 21:05,All,i25471741,i31689348,Expired,1366585418934812674,25471741
We can now double the current offerings of the Lyle Engineering Scholar’s Program.,Templeton Gift | March 2021,Templeton,1.41,46.67,Cost per link click,3.14,0.38,26-Feb-2021 15:43,All,i25471741,i31689347,Expired,1365417270139367427,25471741
"“As artists, we are the front-runners in this journey called change.""

@smumeadows students embraced an opportunity to explore the intersection of arts and activism with the guidance of Regina Taylor '81.",Black Album | February Editorial | 2021,Black Album 2a,0.82,250.08,Cost per link click,3.84,0.09,23-Feb-2021 13:06,All,i25418342,i31614397,Expired,1364290627354066944,25418342
"“So often in life we only look through our own lens: This is how I feel, or this is what I’m going through. 

Opening my mind and heart to a wider spectrum of Black experiences, and listening has heightened my compassion for others.”",Black Album | February Editorial | 2021,Black Album 3,0.78,3.11,Cost per link click,0.98,0.06,22-Feb-2021 16:03,All,i25418342,i31614398,Expired,1363972714654883841,25418342
"When art is activism, what is the lingering impact of performances on our art and in our lives?",Black Album | February Editorial | 2021,Black Album Ad 1,1.01,246.81,Cost per link click,2.67,0.22,22-Feb-2021 15:54,All,i25418342,i31614396,Expired,1363970517464616961,25418342
"You have to know where to apply the heat. 

An interdisciplinary team shows that centuries-old techniques of wildfire management are still applicable to the present age.",Higher Ed Influencer Stories | February 2021,Native American Managed Wildfires,0.41,166.68,Cost per link click,3.74,0.22,04-Feb-2021 16:58,All,i25300182,i31457757,Expired,1357463463430402054,25300182
"Our virtualization expertise 🤝 their technical data.

ATT Center for Data Virtualization will lead research and development while NIWC Pacific will lead the application to Navy platforms, and Command & Control and Enterprise systems.",Higher Ed Influencer Stories | February 2021,NWIC and ATT Center,2.68,16.07,Cost per link click,8.34,0.64,04-Feb-2021 12:38,All,i25300182,i31457755,Expired,1357398098344087553,25300182
Our team of researchers from @lyleengineering estimate the “Lab on a Chip” test could detect immune responses to the virus in two to three minutes.,Higher Ed Influencer Stories | January 2021,Lab on a Chip,0.9,838.0,Cost per link click,3.53,0.26,14-Jan-2021 13:44,All,i25150919,i31278783,Halted,1349804499695771648,25150919
"We're teaming up to mobilize North Texas.

The North Texas Center for Mobility Technologies is intended to strengthen the universities’ capabilities in the transportation sector and to attract mobility technology companies to the region.",Higher Ed Influencer Stories | January 2021,North Texas Mobility,1.4,662.0,Cost per link click,2.63,0.25,12-Jan-2021 17:05,All,i25150919,i31259843,Expired,1349130508010139659,25150919
"Let’s be honest. Sharing a dorm room with anyone is awkward at first. 

So how do roommates get past that and begin to bond? 

It usually boils down to respect.",Common Connections | January 2021,What a Match,0.37,249.6,Cost per link click,3.38,0.19,11-Jan-2021 11:36,All,i25142387,i31247783,Expired,1348685324034199553,25142387
"“It’s the alchemy of sharing an intense time of life with another person that forges a friendship. That’s what happened with us. 

We weren’t instant best buddies. We grew together as people.” -Jaime Noble Gassmann '02.",Common Connections | January 2021,Luck of the Draw,0.38,653.67,Cost per link click,4.03,0.22,11-Jan-2021 11:30,All,i25142387,i31247782,Expired,1348683745914736640,25142387
"Sharing ups and downs, finding hidden strengths – your campus family makes you feel at home.",Common Connections | January 2021,Building Community,0.42,95.4,Cost per link click,2.14,0.05,11-Jan-2021 11:23,All,i25142387,i31247781,Expired,1348682068126035971,25142387
"For their first two years at SMU, our students live on campus in 11 Residential Commons.

Here, roommates may evolve into future business allies. New opportunities can unlock hidden potential, and even baking cookies together can forge lasting bonds as friends become family.",Common Connections | January 2021,Common Connections Launch,0.44,1.33,Cost per link click,1.12,0.12,11-Jan-2021 11:12,All,i25142387,i31247780,Expired,1348679087129321472,25142387
"Igniting.
Inspiring.
World-changing.

Our new home for digital explorers, Gerald J. Ford Hall for Research and Innovation.",Ford Hall Dedication Video,Ford Hall Video,0.01,800.0,Cost per video view,2.65,0.61,04-Dec-2020 16:58,All,i25024684,i31082807,Expired,1334995572797833216,25024684
"50,000 square feet of innovation in Dallas.

Gerald J. Ford Hall will power new enterprises in the digital world of today and tomorrow.",Ford Hall Dedication,Gerald Fall Release,1.12,1627.98,Cost per link click,5.32,0.11,07-Dec-2020 12:07,All,i24921904,i30939645,Expired,1336009352721948674,24921904
"Igniting the future of education and research on The Hilltop.

Today, we welcome the future of digital exploration with the dedication of the Gerald J. Ford Hall for Research and Innovation.",Ford Hall Dedication,Gerald J Ford Hall,1.32,39.73,Cost per link click,1.6,0.21,04-Dec-2020 10:15,All,i24921904,i30939645,Paused,1334894187775406080,24921904
"This fall’s combined student body of 12,385 is the largest in SMU history. 

Coming from 46 different states and 24 foreign countries – the Class of 2024 – reflects SMU’s growing academic stature and national reputation.",SMU News | November 2020,SMU enrollment,2.94,999.09,Cost per link click,7.02,0.61,25-Nov-2020 12:37,All,i24849958,i30836944,Expired,1331668384258244608,24849958
"More than 20 years of Arctic exploration yields rich rewards.

A discovery of the first juvenile dromaeosaurid lower jaw bone on the North Slope of Alaska supports a growing theory of dinosaur migration.",Higher Ed Paleontology Influencers | October 2020,Dino Migration,0.37,496.18,Cost per link click,5.55,0.23,26-Oct-2020 17:01,All,i24627560,i30528246,Expired,1320848082011967489,24627560
"How did an 8,000-pound hadrosaur's skeleton support one of the largest dinosaurs to ever exist? 

New research into the dinosaur's bone structure offers an answer.",Higher Ed Paleontology Influencers | October 2020,Dino Weight,0.29,3.82,Cost per link click,1.96,0.18,26-Oct-2020 16:58,All,i24627560,i30528245,Expired,1320847214898376704,24627560
"This $18 million award is the largest to be given to SMU for research.

With this award, seismologist Brian Stump and his team will use their observations and research to better understand when nuclear tests, large earthquakes, and other major events happen.",Higher Ed Influencers | October 2020,DOD Gift,0.01,0.01,Cost per link click,0.03,0.0,26-Oct-2020 16:32,All,i24627340,i30528045,Expired,1320840748976070656,24627340
"What is the key to happiness? 

Research from @SMUDedman has an answer that might surprise you.",Higher Ed Influencers | October 2020,Happiness Research,0.39,51.39,Cost per link click,4.71,0.22,25-Sep-2020 15:14,All,i24627340,i30528030,Expired,1309587123759190016,24627340
"Maybe the proofreading mistake was the least of your worries. 

New research shows a surprising negative side effect to the tattooing process: your ability to sweat.",Higher Ed Influencers | October 2020,Tattoos and Overheating,0.19,0.19,Cost per link click,0.87,0.04,26-Oct-2020 16:25,All,i24627340,i30528006,Expired,1320838959623094272,24627340
"When people can work wherever they want, where do they choose to live? 

And perhaps more importantly, where do they choose to leave?",Higher Ed Influencers | October 2020,Work from Home,0.39,748.41,Cost per link click,7.69,0.27,26-Oct-2020 16:13,All,i24627340,i30527923,Expired,1320835845805412354,24627340
"Finding power in being an outsider.

@AnaiRodriguezz used to try and blend in, then she discovered the value in standing out.

Now, she spends her days teaching others how to own their differences and is transforming corporate America in the process.

https://t.co/jMisLY56xH",Prepared to Lead | September 2020,summary_large_image,2.05,2000.0,Cost per link click,4.0,0.32,21-Sep-2020 15:05,All,i24378706,i30186390,Expired,1308135329224781825,24378706
"It's true; the Dallas-Fort Worth area was quieter during the shelter-in-place.

Comprised of graduate and undergraduate researchers, Arrowsmith's team discovered a 30 percent drop in urban noise.",Higher Ed Influencers | August 2020,Tracking Silence,0.23,0.45,Cost per link click,0.42,0.04,26-Aug-2020 10:14,All,i24190963,i29932837,Expired,1298639997881311233,24190963
"“The best mentors genuinely want you to succeed.”

Myria Perez '18 found a mentor at SMU who gave her the support needed. 

Now, she seeks to do the same for future scientists coming behind her.",Higher Ed Influencers | August 2020,Myria Perez,0.14,0.68,Cost per link click,0.35,0.02,23-Jul-2020 09:35,All,i24190963,i29932445,Expired,1286308884081045506,24190963
"“The arts can help us [scientists] be more creative, to figure out solutions that we hadn’t thought about.” 
- @EricGBing

How an unlikely duo is guiding the reopening of two local cultural institutions.",Higher Ed Influencers | August 2020,SMU Dancer and Global Health,0.27,498.87,Cost per link click,4.22,0.15,31-Jul-2020 10:14,All,i24190963,i29932296,Expired,1289217888813846530,24190963
"""Our collective richness in data science and advanced computing resources will enable us to address great opportunities.""

SMU and NCSA partnership leads to growth in advanced data science for North Texas.",Higher Ed Influencers | July 2020,SMU and NCSA Ad Variant 3,2.21,28.72,Cost per link click,4.15,0.31,23-Jul-2020 13:19,All,i23944776,i29580206,Expired,1286365371746775040,23944776
"Two organizations that leverage the power of supercomputing are teaming up.

SMU and NCSA announce strategic partnership to promote advanced data science.",Higher Ed Influencers | July 2020,SMU and NCSA Ad Variant 2,1.11,12.24,Cost per link click,2.99,0.22,23-Jul-2020 13:15,All,i23944776,i29580206,Paused,1286364256301015040,23944776
"What if you could beat a cyberattack before it happens?

Engineers from the Lyle School of Engineering have the answer.",Higher Ed Influencers | July 2020,Lyle Ad Variant 3,1.3,177.99,Cost per link click,3.62,0.33,23-Jul-2020 13:04,All,i23944776,i29580207,Expired,1286361484033810432,23944776
"Preventing cybersecurity attacks can be a race against time.

New software developed in the Lyle School of Engineering detects ransomware attacks before extensive damage occurs to the files.",Higher Ed Influencers | July 2020,Lyle Ad Variant 2,0.82,4.94,Cost per link click,1.39,0.11,23-Jul-2020 12:53,All,i23944776,i29580207,Paused,1286358715117916160,23944776
"10 students, 1 mission.

Discover new opportunities for growth for at-risk communities in a post-pandemic world.",Higher Ed Influencers | July 2020,Maguire Ad Variant 2,1.1,14.3,Cost per link click,1.93,0.16,23-Jul-2020 12:24,All,i23944776,i29580208,Expired,1286351600777224193,23944776
"Protect your tech.

Innovative software developed by SMU students can use a computer's own system to detect ransomware attacks.",Higher Ed Influencers | July 2020,Ransomware Protection Software,0.84,3.35,Cost per link click,0.76,0.09,17-Jul-2020 13:41,All,i23944776,i29580208,Paused,1284196419268513792,23944776
"Serving our region, strengthening our impact, and answering Texas-sized research questions. 💻📈",Higher Ed Influencers | July 2020,SMU + NCSA Partnership,1.02,685.63,Cost per link click,2.76,0.25,17-Jul-2020 13:26,All,i23944776,i29580206,Expired,1284192644562694149,23944776
"There's no such thing as 'no solution'.

With a grant from the @NSF, @lyleengineering researchers are helping transform an off-campus warehouse into an innovative lab, creating a controlled environment to conduct drone research in the heart of Dallas.",On The Fly | Drone Research Editorial Story,Drone Video Trailer 1,0.92,500.92,Cost per link click,11.01,0.34,20-Feb-2020 22:48,All,i22950059,i28238376,Expired,1230715997746647041,22950059
"Build it and they will fly.

With a grant from the @NSF, @lyleengineering researchers are helping transform an off-campus warehouse into an innovative lab, creating a controlled environment where they’ll be able to conduct drone research in the heart of Dallas. https://t.co/ExWokTI0La",Drone Research Video,Untitled ad,0.01,2000.0,Cost per video view,4.91,0.97,20-Feb-2020 16:52,All,i22988530,i28291654,Expired,1230626430540599298,22988530
"🐝🐝  🐝🐝
🐝🐝  🐝🐝

Now that there’s buzzing in your head, imagine it's from a swarm of drones performing search and rescue missions.

But there's a communication problem that needs to be solved first, and @lyleengineering researchers are on it.
https://t.co/qhO680vSzB",On The Fly | Drone Research Editorial Story,summary_large_image,0.8,441.63,Cost per link click,8.3,0.45,19-Feb-2020 11:19,All,i22950059,i28238376,Paused,1230180169521889280,22950059
"Imagine the lifesaving potential of groups of drones performing search and rescue missions.

But there's a communication problem that needs to be solved first, and SMU engineers are on it. 
📰:https://t.co/CTw9xAzgt2 https://t.co/7s798DUe2R",On The Fly | Drone Research Editorial Story,Untitled ad,5.53,591.28,Cost per link click,3.96,0.21,15-Feb-2020 08:23,All,i22950059,i28238376,Paused,1228686197087768582,22950059
"🐝🐝      🐝🐝
🐝🐝      🐝🐝

🐝🐝       🐝🐝
🐝🐝       🐝🐝

Now that you're hearing a buzzing sound, imagine it's from a swarm of drones instead.

You're now ready to learn how @lyleengineering researchers are working to produce robust wireless links. https://t.co/qhO680vSzB",On The Fly | Drone Research Editorial Story,summary_large_image,0.65,966.17,Cost per link click,7.53,0.32,12-Feb-2020 11:06,All,i22950059,i28238376,Paused,1227640082598776832,22950059
"Change doesn't happen if we don't walk the walk.

That's why student body president Darian Taylor is leading the charge.
https://t.co/K5P52s06GR",Darian Taylor | Dallas Community,summary_large_image,0.43,300.0,Cost per link click,5.47,0.2,25-Jan-2020 13:18,All,i22811034,i28039513,Expired,1221150428127211520,22811034
"“I knew I wanted to go to college, I just didn't know how.”

Kaitlyn Contreras set her sights on an SMU scholarship - and found a home away from home.",Kaitlyn Contreras,Kaitlyn Contreras 1,0.08,472.79,Cost per link click,12.24,0.08,12-Dec-2019 13:01,All,i22548490,i27651362,Exhausted,1205201115916075008,22548490
"“If you start to doubt yourself, find reinforcements.”

Every first-generation college student struggles with fear. Kaitlyn Contreras has found mentors and peers who remind her she’s up to any challenge.",Kaitlyn Contreras,Kaitlyn Contreras 2,0.09,333.56,Cost per link click,12.12,0.09,12-Dec-2019 13:02,All,i22548490,i27651362,Exhausted,1205201303586033664,22548490
"“I’ve learned it’s OK to be afraid and to use that as a motivation.”

Kaitlyn Contreras looks to her family - at home and at SMU - for the inspiration to succeed as a #firstgen college student.",Kaitlyn Contreras,Kaitlyn Contreras 3,0.1,343.65,Cost per link click,13.01,0.1,12-Dec-2019 13:03,All,i22548490,i27651362,Exhausted,1205201428223934469,22548490
".@SMUMeadows alumnus Nicolás González ’16's paintings are highly symbolic, incorporating many images and motifs that represent influences in his life and choices he has made. #Meadows50",Meadows 50 - Four Stories,Nicolás González,0.21,55.92,Cost per engagement,22.67,0.21,22-Nov-2019 15:59,All,i22404735,i27427952,Expired,1197998147508699136,22404735
Music therapist Elise Hawkes '19 is using her @SMUMeadows education - and her passion for human rights - to help refugees overcome the mental anguish that makes it harder to build new lives.  #Meadows50,Meadows 50 - Four Stories,Elise Hawkes,0.22,545.44,Cost per engagement,20.97,0.22,22-Nov-2019 16:00,All,i22404735,i27427952,Expired,1197998343441403904,22404735
An artist worth framing: @Krewe_Eyewear founder and @SMUMeadows grad Stirling Barrett '11 makes a statement with style deeply rooted in his New Orleans upbringing. #Meadows50,Meadows 50 - Four Stories,Stirling Barrett,0.2,13.32,Cost per engagement,17.72,0.2,22-Nov-2019 16:03,All,i22404735,i27427952,Expired,1197999046289285120,22404735
"Two legends walk into Owen Arts Center....

Listen in as @SMUMeadows alumnae @MsKathyBates and @TheReginaTaylor talk about art, life, and their years on the Hilltop. #Meadows50",Meadows 50 - Four Stories,Kathy Bates and Regina Taylor,0.2,385.07,Cost per engagement,25.02,0.2,22-Nov-2019 16:05,All,i22404735,i27427952,Expired,1197999676898697216,22404735
"A $100 million gift from the Moody Foundation will create SMU’s eighth named degree-granting school.

📖➡️ https://t.co/WMtZefcM5j https://t.co/3K3LDJt8zL",Moody Foundation announcement,Untitled ad,0.07,426.72,Cost per link click,10.9,0.07,13-Nov-2019 17:37,All,i22333535,i27322447,Expired,1194761256466448385,22333535
"Big ideas require bold vision.

Learn how the Moody School of Graduate and Advanced Studies will help transform SMU and Dallas.

📰➡️ https://t.co/KMKaKJDWbE https://t.co/SKBYQ6AMpQ",Moody Foundation announcement,Untitled ad,0.07,571.29,Cost per link click,9.59,0.07,12-Nov-2019 18:22,All,i22333535,i27322447,Expired,1194410043984105473,22333535
